Mike Ogrysko
java SortComparison "ran50.dat" "NMS5ran50out.dat"
Reading "ran50.dat" and writing to "NMS5ran50out.dat"
Running a Natural MergeSort
MergeSort: Swapping 24 and 16
MergeSort: Comparing 24 to 18
MergeSort: Swapping 24 and 18
MergeSort: Comparing 24 to 19
MergeSort: Swapping 24 and 19
MergeSort: Comparing 24 to 20
MergeSort: Swapping 24 and 20
MergeSort: Comparing 24 to 21
MergeSort: Swapping 24 and 21
MergeSort: Comparing 24 to 22
MergeSort: Swapping 24 and 22
MergeSort: Comparing 24 to 23
MergeSort: Swapping 24 and 23
MergeSort: Comparing 24 to 25
MergeSort: Comparing 11 to 1
MergeSort: Swapping 11 and 1
MergeSort: Comparing 11 to 2
MergeSort: Swapping 11 and 2
MergeSort: Comparing 11 to 3
MergeSort: Swapping 11 and 3
MergeSort: Comparing 11 to 4
MergeSort: Swapping 11 and 4
MergeSort: Comparing 11 to 6
MergeSort: Swapping 11 and 6
MergeSort: Comparing 11 to 8
MergeSort: Swapping 11 and 8
MergeSort: Comparing 11 to 9
MergeSort: Swapping 11 and 9
MergeSort: Comparing 11 to 10
MergeSort: Swapping 11 and 10
MergeSort: Comparing 11 to 12
MergeSort: Comparing 49 to 12
MergeSort: Swapping 49 and 12
MergeSort: Comparing 49 to 14
MergeSort: Swapping 49 and 14
MergeSort: Comparing 49 to 15
MergeSort: Swapping 49 and 15
MergeSort: Comparing 49 to 16
MergeSort: Swapping 49 and 16
MergeSort: Comparing 49 to 18
MergeSort: Swapping 49 and 18
MergeSort: Comparing 49 to 19
MergeSort: Swapping 49 and 19
MergeSort: Comparing 49 to 20
MergeSort: Swapping 49 and 20
MergeSort: Comparing 49 to 21
MergeSort: Swapping 49 and 21
MergeSort: Comparing 49 to 22
MergeSort: Swapping 49 and 22
MergeSort: Comparing 49 to 23
MergeSort: Swapping 49 and 23
MergeSort: Comparing 49 to 24
MergeSort: Swapping 49 and 24
MergeSort: Comparing 49 to 25
MergeSort: Swapping 49 and 25
MergeSort: Comparing 49 to 26
MergeSort: Swapping 49 and 26
MergeSort: Comparing 49 to 27
MergeSort: Swapping 49 and 27
MergeSort: Comparing 49 to 28
MergeSort: Swapping 49 and 28
MergeSort: Comparing 49 to 31
MergeSort: Swapping 49 and 31
MergeSort: Comparing 49 to 32
MergeSort: Swapping 49 and 32
MergeSort: Comparing 49 to 33
MergeSort: Swapping 49 and 33
MergeSort: Comparing 49 to 34
MergeSort: Swapping 49 and 34
MergeSort: Comparing 49 to 35
MergeSort: Swapping 49 and 35
MergeSort: Comparing 49 to 36
MergeSort: Swapping 49 and 36
MergeSort: Comparing 49 to 37
MergeSort: Swapping 49 and 37
MergeSort: Comparing 49 to 38
MergeSort: Swapping 49 and 38
MergeSort: Comparing 49 to 41
MergeSort: Swapping 49 and 41
MergeSort: Comparing 49 to 42
MergeSort: Swapping 49 and 42
MergeSort: Comparing 49 to 43
MergeSort: Swapping 49 and 43
MergeSort: Comparing 49 to 44
MergeSort: Swapping 49 and 44
MergeSort: Comparing 49 to 45
MergeSort: Swapping 49 and 45
MergeSort: Comparing 49 to 46
MergeSort: Swapping 49 and 46
MergeSort: Comparing 49 to 47
MergeSort: Swapping 49 and 47
MergeSort: Comparing 49 to 48
MergeSort: Swapping 49 and 48
MergeSort: Comparing 49 to 50
MergeSort: Comparing 5 to 1
MergeSort: Swapping 5 and 1
MergeSort: Comparing 5 to 2
MergeSort: Swapping 5 and 2
MergeSort: Comparing 5 to 3
MergeSort: Swapping 5 and 3
MergeSort: Comparing 5 to 4
MergeSort: Swapping 5 and 4
MergeSort: Comparing 5 to 6
